No,"FAQ/Guide",Service,Questions,Réponses,Question (DE),Réponse (DE),Schools (tag),Processus (tag)
55,FAQ,SACAD,​Dois-je m'inscrire aux examens ?,"Directive sur l’organisation des modules à la HEIA-FR :
Art.7 al.  2 L’inscription au cours entraîne automatiquement l’inscription à l’examen de révision.","Muss ich mich für die Prüfungen einschreiben?
","Richtlinie über die Organisation der Module an der HTA-FR :
Art. 7, Abs. 2 Mit der Kursanmeldung erfolgt automatisch die Anmeldung zur Schlussprüfung.
",HEIA,Formation
56,FAQ,SACAD,Suis-je obligé·e de me soumettre aux examens de révision ?,"Directive sur l’organisation des modules à la HEIA-FR :
Art. 7 al. 1 Un cours peut faire l’objet d’un examen de révision. Dans ce cas, celui-ci est obligatoire et la note du cours est la moyenne de la note de l’examen de révision (arrondie au dixième de point) et de celle du contrôle continu (arrondie au dixième de point).
al. 2 
L’inscription au cours entraîne automatiquement l’inscription à l’examen de révision.
","Muss ich die Schlussprüfungen machen?
","Richtlinie über die Organisation der Module an der HTA-FR:
Art. 7, Abs. 1 Ein Kurs kann mit einer Schlussprüfung abschliessen. Diese Schlussprüfung ist verpflichtend. Die Endnote des Kurses ergibt sich aus dem Durchschnitt der Prüfungsnote und der Note der Lernkontrolle, die jeweils auf eine Dezimalstelle gerundet werden.  
Abs. 2
Mit der Kursanmeldung erfolgt automatisch die Anmeldung zur Schlussprüfung.
",HEIA,Formation
57,FAQ,ST,Des espaces pour étudier sont-ils mis à disposition au sein de l'école ?,"Des espaces sont disponibles au 4ème étage du site de Pérolles 80 ainsi qu'à la bibliothèque au 3ème étage. Les jours ouvrables, le restaurant est accessible jusqu'à 22 heures.","Stehen an der Hochschule Räume für das Selbststudium zur Verfügung?
","Ja, am Standort Perolles 80 im 4. Stock sowie in der Bibliothek im 3. Stock. 
Von Montag bis Freitag stehen auch die Räumlichkeiten des Restaurants bis 22 Uhr zur Verfügung.
",HEIA,"Infrastructure
Formation"
58,FAQ,SI,​Comment puis-je accéder à l'Intranet ?,"Pour vous connecter à l'Intranet (https://ged.hefr.ch), utilisez votre compte HES-SO. (https://confluence.hefr.ch/x/IodbAg)","Wie habe ich Zugriff aufs Intranet?
","Der Link aufs Intranet ist auf der Startseite der Homepage der HTA-FR, ganz unten rechts; Login mit dem AAI-Konto.",HEIA,Formation
59,FAQ,SI,​En quoi consiste l'Intranet ?,"L'Intranet est une plateforme informatique sécurisée sur laquelle vous trouvez tous les documents et informations utiles à votre parcours dans notre école (mise à disposition des documents et informations tels que les horaires, règlements, etc.)","Was ist eigentlich das Intranet?
","Intranet ist eine gesicherte Informatikplattform auf der Sie wichtige Dokumente und Informationen zum Studium an der HTA-FR finden: Reglemente, Stundenpläne usw. ",HEIA,Formation
60,FAQ,SI,​Comment est sanctionné un abus de l'utilisation de l'ordinateur portable durant les cours ?,"Pour connaître les sanctions, nous vous prions de consulter le chapitre 6 « Conséquences d’un usage non conforme aux règles ».  (https://confluence.hefr.ch/x/4IFbAg )
","Mit welchen Konsequenzen muss man bei Missbrauch der Informatikausrüstung im Rahmen des Studiums rechnen?
","Die Konsequenzen bei Missbrauch sind auf folgendem Link beschrieben:
https://confluence.hefr.ch/x/6YNbAg#RichtlinienfürdieVerwendungderInformatikausrüstung-KonsequenzenbeiMissbrauch
",HEIA,Formation
61,FAQ,SACAD,"​Puis-je utiliser mon ordinateur portable en cours ?

",L'utilisation de l'ordinateur portable pendant les cours est autorisée pour la prise de notes ou tout autre activité en lien avec le cours donné et avec autorisation du professeur.​,Darf ich im Kurs meinen Laptop benutzen?,"Ja, der Einsatz des Laptops während den Kursen ist mit Erlaubnis der Lehrpersonen für Unterrichtsaktivitäten und Notizen erlaubt.",HEIA,Formation
62,FAQ,SI,​Combien coûte une impression ?,"Pour toute question concernant les impressions ou le crédit d'impressions, merci de consulter : https://confluence.hefr.ch/x/34TAAQ
","Wie viel kostet ein Druckjob?
","Alle Infos zum Drucken, Fotokopieren und Druckkredit auf:
https://confluence.hefr.ch/x/nxEaAg
",HEIA,"Infrastructure
Formation"
63,FAQ,SI,​Est-ce que le crédit d'impressions non utilisé est remboursable ?,"Non. Pour toute question concernant les impressions ou le crédit d'impressions, merci de consulter : Quotas d'impression.​
https://confluence.hefr.ch/display/public/KBExterneHEFR/Quotas+d%27impression ","Werden nicht gebrauchte Druckkredite vergütet?
","Nein. Alle Infos zum Drucken, Fotokopieren und Druckkredit auf: Druckkontingente​.​

https://confluence.hefr.ch/display/public/KBExterneHEFR/Druckkontingente ",HEIA,"Infrastructure
Formation"
64,FAQ,SI,​Est-ce que mon crédit d'impressions est cumulable d'année en année ?,"Non. Pour toute question concernant les impressions ou le crédit d'impressions, merci de consulter : Quotas d'impression.​

https://confluence.hefr.ch/display/public/KBExterneHEFR/Quotas+d%27impression ","Wird mein Druckkredit von einem Studienjahr aufs nächste gutgeschrieben?
","Alle Infos zum Drucken, Fotokopieren und Druckkredit auf:
https://confluence.hefr.ch/x/nxEaAg
",HEIA,"Infrastructure
Formation"
65,FAQ,SI,"​J'ai utilisé la totalité de mon crédit d'impression pour l'année en cours, puis-je l'augmenter?","Pour augmenter le crédit d'impression, merci de consulter : https://confluence.hefr.ch/x/UQ0aAg

(en allemand : https://confluence.hefr.ch/x/5xAaAg  )","Ich habe meinen Druckkredit für das laufende Studienjahr aufgebraucht. Kann ich einen neuen Druckkredit beantragen?
","Mehr zum Aufladen des Druckkredits:
https://confluence.hefr.ch/x/5xAaAg 
",HEIA,"Infrastructure
Formation"
66,FAQ,SI,​Quel est le montant du crédit d'impressions reçu en début d'année ?,"Pour connaître le montant du crédit d'impressions reçu en début d'année académique, veuillez consulter : https://confluence.hefr.ch/x/34TAAQ

(en allemand : https://confluence.hefr.ch/x/nxEaAg)","Wie viel beträgt der Druckkredit, den ich am Anfang des Studienjahrs erhalte?
","Mehr zum gutgeschriebenen Druckkredit am Anfang des Studienjahrs:
https://confluence.hefr.ch/x/nxEaAg
",HEIA,"Infrastructure
Formation"
68,FAQ,SACAD,Où et comment puis-je actualiser la validité de mon badge (carte d'étudiant·e) ?,"Pour actualiser la validité de votre badge (carte d'étudiant·e) au début de chaque semestre, vous devez vous rendre à la borne, qui se trouve sur le site de Pérolles 80, au 1er étage. Cette borne mettra à jour la validité sur la zone réinscriptible. La mise à jour de la validité devra être réalisée chaque semestre par le biais de la borne de mise à jour.","Wo und wie kann ich die Gültigkeit meines Badges (meiner Studierendenkarte) aktualisieren?
","Die Gültigkeit der Studierendenkarte muss anfangs jedes Semesters am Info-Terminal (Standort Perolles, Gebäude A, erster Stock) erneuert werden.",HEIA,Formation
69,FAQ,SACAD,Comment activer mon badge (carte d'étudiant·e) ?,"Pour activer votre carte, vous devez la présenter à la borne de mise à jour spécialement prévue à cet effet. Les bornes de mise à jour se trouvent aux endroits suivants :
1) Pérolles 80, au rez du bâtiment A à côté de la reprographie
2) Arsenaux 41, après les 2 portes automatiques de l'entrée nord, au rez
3) Fonderie 2, à l'entrée au 2ème étage","Wie kann ich meinen Badge (meine Studierendenkarte) aktivieren?
","Die Gültigkeit der Studierendenkarte muss anfangs jedes Semesters am Info-Terminal (Standort Perolles, Gebäude A, erster Stock) erneuert werden. 
An den Aktivierungsterminalen; diese befinden sich:
1)	Perolles 80: EG, Gebäude A, neben der Reprografie
2)	Arsenaux 41: EG, nach den 2 automatischen Türen im Eingang Nord
3)	Fonderie 2: beim eingang im 2. Stock
 
",HEIA,Formation
70,FAQ,SACAD,"A quoi sert mon badge (carte d'étudiant·e) ?
","Le badge a les fonctions suivantes :
1) Pièce de légitimation de carte d'étudiant·e, donnant également droit à des tarifs réduits dans les commerces
2) Clé électronique pour l'accès aux bâtiments de la HEIA-FR
3) Carte de prépaiement pour le restaurant de la HEIA-FR, le bâtiment Mozaîk, les automates (snacks et boissons) ainsi que pour recharger le quota d'impressions une fois que le montant annuel est épuisé
4) Moyen d'accès aux appareils d'impressions pour les photocopies

Voir la vidéo suivante :
https://go.heia-fr.ch/is-5","Wozu dient mein Badge (meine Studierendenkarte)?
","Der Badge hat folgende Funktionen:
1) Legitimationsausweis für Studierende mit Vergünstigungen in bestimmten Geschäften
2) Elektronischer Badge für den Zutritt zu den Gebäuden der HTA-FR
3) Zahlungsmittel im Restaurant der HTA-FR, im Mozaïk-Gebäude, an den Getränke- und Snackautomaten sowie zum Aufladen des Druckkredits
4) Benutzung der Fotokopier- und Druckmaschinen

Mehr dazu im Erklärvideo: 
https://go.hta-fr.ch/is-5",HEIA,"Formation
Infrastructures"
71,FAQ,SI,​Jusqu'à quand mon compte e-mail est-il valable ?,Le compte e-mail de l'école expire 3 mois après l'exmatriculation (= départ de l'étudiant·e de l'école). Un e-mail d'information est envoyé automatiquement 10 jours avant la fermeture du compte.,"Bis wann ist meine E-Mail-Adresse gültig?
",Das E-Mail-Konto der Hochschule wird 3 Monate nach der Exmatrikulation gelöscht. Zehn Tage vor der Abschaltung werden Sie per E-Mail darüber informiert.,HEIA,Formation
72,,SI,Quel est mon compte e-mail durant les études et à quoi sert-il ?,"L'e-mail de l'école (prénom.nom@edu.hefr.ch) est l'unique moyen électronique de communication. Les communications officielles de la HEIA-FR se faisant par e-mail, il faut veiller à se connecter et à vider régulièrement sa boîte de réception.
Directive sur l’organisation des modules à la HEIA-FR :
Art. 18 al. 1
Le courrier papier et le courrier électronique sont des canaux officiels de communication d’informations vers l’étudiant·e. Il ou elle a la responsabilité notamment de consulter régulièrement sa boîte à lettres électronique mise à disposition par l’école. ",Was ist mein E-Mail-Konto für das Studium und wozu brauche ich dieses?,"Die E-Mail-Adresse der Hochschule (Vorname.Name@edu.hefr.ch) ist das einzige elektronische Kommunikationsmittel. Da die offizielle Kommunikation der HTA-FR per E-Mail erfolgt, ist es wichtig, dass Sie sich regelmässig einloggen und den E-Mail-Posteingang überprüfen. 
Richtlinie über die Organisation der Module an der HTA-FR:
Art. 18 Abs. 1
«Die offizielle Kommunikation mit den Studierenden erfolgt per Post und per E-Mail. Die Studierenden sind dafür verantwortlich, regelmässig ihr von der Schule bereitgestelltes E-Mail-Postfach zu kontrollieren.»
",,
74,FAQ,SI,​Jusqu'à quand mon compte HES-SO est-il valable ?,"Le compte HES-SO expire 2 semaines après l'exmatriculation (= départ de l'étudiant-e de l'école).

Lors de la fin des études ou du contrat collaborateur, certains services restent utilisables pendant 3 mois. 

Plus d’info sur la gestion des accès aux services sur Sinfo​.

https://confluence.hefr.ch/display/public/KBExterneHEFR/Compte+HES-SO
https://confluence.hefr.ch/pages/releaseview.action?pageId=39552806","Wie lange ist mein HES-SO-Konto gültig?
","Das HES-SO-Benutzerkonto wird zwei Wochen nach der Exmatrikulation (nach Abschluss oder Abbruch des Studiums) deaktiviert.

Einige Dienste stehen nach Beendigung des Studiums oder des Arbeitsvertrages noch drei Monate zur Verfügung.

Mehr Infos dazu finden Sie hier​.


https://confluence.hefr.ch/display/public/KBExterneHEFR/HES-SO-Benutzerkonto
https://confluence.hefr.ch/display/public/KBExterneHEFR/Weggang+eines+Mitarbeitenden+oder+Studierenden",HEIA,Formation
75,FAQ,Compta,​Un paiement par acomptes est-il possible pour la taxe semestrielle ?,"En cas de difficultés financières, une demande de paiement par acomptes peut être faite par écrit auprès du service financier à l'adresse suivante : financesHEIA@hefr.ch​ ","Können die Semestergebühren mit mehreren Anzahlungen beglichen werden?
","Falls notwendig, kann beim Finanzdienst eine schriftliche Anfrage für Anzahlungen gemacht werden.  financesHEIA@hefr.ch​ ",HEIA,Formation
76,FAQ,SACAD,​J'ai arrêté mes études après le début du semestre. Dois-je m'acquitter de la taxe semestrielle ?,Tout·e étudiant·e inscrit·e au début du semestre doit obligatoirement s'acquitter de l'écolage semestriel même s'il ou elle interrompt ses études en respectant les modalités.,"Ich habe mein Studium nach Semesterbeginn abgebrochen. Muss ich die Semestergebühren bezahlen?
","Alle Studierenden, die bei Semesterbeginn eingeschrieben sind müssen die Semestergebühren bezahlen, auch wenn das Studium abgebrochen wird.",HEIA,Formation
77,FAQ,SACAD,​Je suis en semestre à l'étranger dans le cadre de la formation. Dois-je tout de même payer la taxe semestrielle de la HEIA-FR ?,"Les frais d'écolages pour un·e étudiant·e en échange OUT s'élèvent à CHF 500.-- (pour tout·e étudiant·e immatriculé·e, indépendammant du lieu de domicile et du nombre de crédits suivis). La participation aux coûts d'exploitation des installations informatiques ne sont pas facturés (CHF 100.--).

Pour les frais d'écolage d'étudiant·e en échange IN : 
Règlement relatif aux taxes à la HES-SO Art. 8 al. 1 Les montants des taxes d’études des formations organisées conjointement entre la HES-SO et une autre haute école peuvent être différents de ceux fixés par la HES-SO.
","Im Rahmen meines Studiums mache ich ein Auslandsemester. Muss ich die Semestergebühren der HTA-FR totzdem bezahlen?
","Die Studiengebühr für alle OUT-Semester beträgt CHF 500.-; dies gilt für alle immatrikulierten Studierenden, unabhängig vom Wohnort und der Anzahl belegter Kurse. Der Beitrag an die Informatikkosten von CHF 100.- wird nicht verrechnet.

Gebühren für Incoming-Austauschstudierende:
Reglement über die Gebühren an der HES-SO Art. 8, Abs. 1 Die Beträge der Studiengebühren für Ausbildungen, die von der HESSO und einer anderen Hochschule gemeinsam organisiert werden, können sich von denen, die von der HES-SO festgesetzt werden, unterscheiden. ",HEIA,Formation
78,FAQ,SACAD,"​J'ai pris un congé, dois-je quand même payer la taxe semestrielle ?","En cas d'interruption temporaire, l'étudiant·e reste immatriculé·e, ce qui signifie qu'il-elle doit s'acquitter de l'écolage semestriel de CHF 150.--","Ich habe einen Urlaub genommen; muss ich die Semestergebühr trotzdem bezahlen?
",Bei einem zeitlichen Unterbruch des Studiums bleiben die Studierenden immatrikuliert und müssen die Semestergebühr von CHF 150.- bezahlen.,HEIA,Formation
79,FAQ,SACAD,​À quel moment vais-je recevoir la facture de la taxe semestrielle ?,"La facture de la taxe semestrielle est envoyée chaque semestre, soit en octobre et en avril.
Elle sera transmise électroniquement avec un QR-code via l'adresse e-mail de l'école.","Wann erhalte ich die Rechnung für die Studiengebühr?
","Die Rechnung für die Studiengebühren wird jedes Semester verschickt, im Oktober und im April.",HEIA,Formation
80,FAQ,SACAD,​Dans quelle mesure puis-je faire un recours par rapport à une décision prise sur réclamation ?,"Toute décision prise sur réclamation peut, dans les dix jours, faire l'objet d'un recours en première instance auprès de la Direction compétente.
L'autorité de recours examine avec retenue les décisions relatives à l'évaluation du travail, des aptitudes et du comportement de la personne. La décision de l'autorité de recours peut, dans les trente jours, faire l'objet d'un recours à la Commission de recours de la HES-SO, conformément à l'article 35 de la Convention HES-SO (Art. 68 LHES-SO//FR de 2014).
Lien vers la convention:
https://www.hes-so.ch/data/documents/Convention-intercantonale-FR-2496.pdf

Concernant l'ETC, veuillez vous référer à l'art. 23 al.1 :
Toute décision de non-admission ou toute décision affectant ou pouvant affecter le statut d'un étudiant ou d'une étudiante peut, dans les dix jours, faire l'objet d'une réclamation écrite à la direction de la HEIA-FR.​","Kann ich Beschwerdeverfügungen anfechten?
","Gegen Beschwerdeverfügungen kann innert 10 Tagen bei der entsprechenden Direktion erstinstanzlich Rekurs eingelegt werden. 
Die Rekursbehörde prüft die Verfügungen bezüglich Arbeitsleistung, Fähigkeiten und Verhalten einer Person. Der Entscheid der Beschwerdebehörde kann innert 30 Tagen bei der Beschwerdekommission der HES-SO angefochten werden; s. Art. 35 der HES-SO Vereinbarung der Fachhochschule Westschweiz (HES-SO) und Art. 68 HES-SO//FRG.
https://www.hes-so.ch/data/documents/Interkantonale-Vereinbarung-HES-SO-mit-Kommentar-2512.pdf

Für die BTS verweisen verweisen wir auf Art. 23, Abs. 1:

Gegen Verfügungen über die Nichtzulassung oder gegen Entscheide, welche die Stellung einer studierenden Person beeinträchtigen oder beeinträchtigen können, kann innerhalb von zehn Tagen bei der Direktion der HTA-FR schriftlich Einsprache erhoben werden.

",HEIA,Formation
81,FAQ,SACAD,​Dans quelle mesure puis-je faire une réclamation par rapport à une décision prise par l'école ?,"Les décisions prises par les écoles envers les candidat-e-s et les étudiant·e·s, notamment au sujet de l'admission, de la promotion, des examens, de la certification finale, et toute mesure pouvant conduire à l'exclusion de la formation peuvent, dans un délai de dix jours, faire l'objet d'une réclamation auprès du directeur ou de la directrice de l'école.
L'autorité de réclamation statue à bref délai (Art. 67 LHES-SO//FR de 2014).

Concernant l'ETC, veuillez vous référer à l'art. 23 al.1 :
Toute décision de non-admission ou toute décision affectant ou pouvant affecter le statut d'un étudiant ou d'une étudiante peut, dans les dix jours, faire l'objet d'une réclamation écrite à la direction de la HEIA-FR.​","Kann ich Einsprache gegen Verfügungen der Hochschuldirektion machen?
","Art. 67 Gesetz über die Fachhochschule Westschweiz//Freiburg (HES-SO//FRG):
Die Verfügungen der Schulen, welche die Kandidierenden und die Studierenden betreffen, insbesondere über die Zulassung, die Promotion, die Abschlussprüfungen und Massnahmen, die zum Schulausschluss führen können, sind innerhalb von zehn Tagen mit Einsprache bei der Schuldirektion anfechtbar.
Die Einsprachebehörde entscheidet unverzüglich.

Für die BTS verweisen verweisen wir auf Art. 23, Abs. 1:

Gegen Verfügungen über die Nichtzulassung oder gegen Entscheide, welche die Stellung einer studierenden Person beeinträchtigen oder beeinträchtigen können, kann innerhalb von zehn Tagen bei der Direktion der HTA-FR schriftlich Einsprache erhoben werden.",HEIA,Formation
82,FAQ,SACAD,​Quels sont les types de sanctions auxquels je peux être soumis·e ?,"Règlement sur la formation de base (Bachelor et Master) en HES-SO :
Art. 37 al. 1 L’étudiant·e qui enfreint les règles et les usages est passible des sanctions disciplinaires suivantes, selon le degré de gravité de la faute :
a) l’avertissement 
b) l’exclusion temporaire 
c) l’exclusion de la filière, voire du domaine si le règlement du domaine le précise.
al. 2 
Les sanctions sont prononcées par la Haute école responsable. En ce qui concerne l’application de l’alinéa 1 lettre c) du présent article, la Haute école rend sa décision sur préavis du Conseil de domaine. Ce dernier peut déléguer cette compétence à la ou au responsable de domaine.
al. 3
Avant le prononcé d’une sanction, l’étudiant·e doit être entendu·e.
al. 4 
La décision est communiquée à l’étudiant·e par écrit avec mention des voies de droit","Welche Sanktionen können ausgesprochen werden?
","Reglement über die Grundausbildung (Bachelor und Master) an der HES-SO:
Art. 37, Abs. 1 Studierende, die gegen die Vorschriften und Gepflogenheiten verstossen, werden je nach Grad des Verschuldens mit einer der folgenden Disziplinarstrafen belegt: 
a) Verwarnung; 
b) vorübergehender Ausschluss; 
c) Ausschluss aus dem Studiengang oder auch aus dem Fachbereich, wenn das Reglement des Fachbereichs dies vorsieht. 
Abs. 2
Sanktionen werden von der verantwortlichen Hochschule ausgesprochen. Bezüglich der Anwendung von Abs. 1 Bst. c) des vorliegenden Artikels erteilt die Hochschule ihren Beschluss nach Stellungnahme des Bereichsrats. Dieser kann diese Zuständigkeit an die Fachbereichsleitung delegieren. 
Abs. 3
Bevor eine Sanktion ausgesprochen wird, muss der/die Studierende angehört werden. 
Abs. 4
Der Beschluss wird den Studierenden schriftlich unter Angabe der Rechtsmittel mitgeteilt.
",HEIA,Formation
83,FAQ,SNZ,​Que se passe-t-il en cas de fraude ?,"Règlement sur la formation de base (Bachelor et Master) en HES-SO :
Art.36 al .1 Toute fraude y compris le plagiat ou la tentative de fraude dans les travaux d’évaluation, les examens et le travail de Bachelor ou le travail de Master, entraîne la note de 1 (ou F) au module, impliquant la non-acquisition des crédits ECTS, voire l’invalidation du titre et peut faire l’objet d’une des sanctions prévues à l’article 37. al 2 L’usage de faux titres ou certificats par les étudiant·e·s entraîne l’annulation des décisions antérieures et l’exclusion définitive de la HES-SO.

","Was passiert bei Betrug?
","Reglement über die Grundausbildung (Bachelor und Master) an der HES-SO:
Art. 36, Abs. 1 Jeder Betrug (einschliesslich Plagiat oder Betrugsversuch) im Rahmen von Evaluationsarbeiten, Prüfungen sowie der Bachelor- oder Masterarbeit hat die Vergabe der Note 1 (oder F) für das Modul und die Nichtvergabe der entsprechenden ECTS-Credits, oder sogar die Ungültigkeitserklärung des Diploms, zur Folge und kann Gegenstand einer der in Artikel 37 vorgesehenen Sanktionen sein. 
Abs. 2
Der Gebrauch falscher Urkunden oder Ausweise durch Studierende hat die Annullierung früherer Entscheidungen und den definitiven Ausschluss aus der HES-SO zur Folge.
",HEIA,Formation
84,FAQ,SACAD,"​Que se passe-t-il en cas d'indiscipline, de fréquentation irrégulière des cours ou d'abus ?","Règlement sur la formation de base (Bachelor et Master) en HES-SO :
Art. 37 al. 1 L’étudiant·e qui enfreint les règles et les usages est passible des sanctions disciplinaires suivantes, selon le degré de gravité de la faute :
a) l’avertissement 
b) l’exclusion temporaire 
c) l’exclusion de la filière, voire du domaine si le règlement du domaine le précise
al. 2 
Les sanctions sont prononcées par la Haute école responsable. En ce qui concerne l’application de l’alinéa 1 lettre c) du présent article, la Haute école rend sa décision sur préavis du Conseil de domaine. Ce dernier peut déléguer cette compétence à la ou au responsable de domaine.
al. 3 
Avant le prononcé d’une sanction, l’étudiant·e doit être entendu·e.
al. 4 
La décision est communiquée à l’étudiant·e par écrit avec mention des voies de droit.","Was passiert bei Verstoss gegen die Vorschriften, regelmässige Absenzen, Missbrauch usw.?
","Reglement über die Grundausbildung (Bachelor und Master) an der HES-SO:
Art. 37, Abs. 1 Studierende, die gegen die Vorschriften und Gepflogenheiten verstossen, werden je nach Grad des Verschuldens mit einer der folgenden Disziplinarstrafen belegt: 
a) Verwarnung; 
b) vorübergehender Ausschluss; 
c) Ausschluss aus dem Studiengang oder auch aus dem Fachbereich, wenn das Reglement des Fachbereichs dies vorsieht. 
Abs. 2
Sanktionen werden von der verantwortlichen Hochschule ausgesprochen. Bezüglich der Anwendung von Abs. 1 Bst. c) des vorliegenden Artikels erteilt die Hochschule ihren Beschluss nach Stellungnahme des Bereichsrats. Dieser kann diese Zuständigkeit an die Fachbereichsleitung delegieren. 
Abs. 3
Bevor eine Sanktion ausgesprochen wird, muss der/die Studierende angehört werden. 
Abs. 4
Der Beschluss wird den Studierenden schriftlich unter Angabe der Rechtsmittel mitgeteilt.
",HEIA,Formation
85,FAQ,SACAD,Quelle est la conséquence de non-remise ou falsification de documents officiels ?,"Règlement sur la formation de base (Bachelor et Master) en HES-SO :
Art. 36 al. 1 Toute fraude y compris le plagiat ou la tentative de fraude dans les travaux d’évaluation, les examens et le travail de Bachelor ou le travail de Master, entraîne la note de 1 (ou F) au module, impliquant la non-acquisition des crédits ECTS, voire l’invalidation du titre et peut faire l’objet d’une des sanctions prévues à l’article 37.
al. 2 
L’usage de faux titres ou certificats par les étudiant·e·s entraîne l’annulation des décisions antérieures et l’exclusion définitive de la HES-SO.

Règlement sur la formation de base (Bachelor et Master) en HES-SO :
Art. 37 al. 1 L’étudiant·e qui enfreint les règles et les usages est passible des sanctions disciplinaires suivantes, selon le degré de gravité de la faute :
a) l’avertissement 
b) l’exclusion temporaire 
c) l’exclusion de la filière, voire du domaine si le règlement du domaine le précise
al. 2 
Les sanctions sont prononcées par la haute école responsable. En ce qui concerne l’application de l’alinéa 1 lettre c) du présent article, la haute école rend sa décision sur préavis du Conseil de domaine. Ce dernier peut déléguer cette compétence à la ou au responsable de domaine.
al. 3 
Avant le prononcé d’une sanction, l’étudiant·e doit être entendu·e.
al. 4 
La décision est communiquée à l’étudiant·e par écrit avec mention des voies de droit.
","Was passiert, wenn offizielle Dokumente nicht eingereicht oder gefälscht werden?
","Reglement über die Grundausbildung (Bachelor und Master) an der HES-SO:
Art. 36, Abs. 1 Jeder Betrug (einschliesslich Plagiat oder Betrugsversuch) im Rahmen von Evaluationsarbeiten, Prüfungen sowie der Bachelor- oder Masterarbeit hat die Vergabe der Note 1 (oder F) für das Modul und die Nichtvergabe der entsprechenden ECTS-Credits, oder sogar die Ungültigkeitserklärung des Diploms, zur Folge und kann Gegenstand einer der in Artikel 37 vorgesehenen Sanktionen sein. 
Abs. 2
Der Gebrauch falscher Urkunden oder Ausweise durch Studierende hat die Annullierung früherer Entscheidungen und den definitiven Ausschluss aus der HES-SO zur Folge.

Reglement über die Grundausbildung (Bachelor und Master) an der HES-SO:
Art. 37, Abs. 1 Studierende, die gegen die Vorschriften und Gepflogenheiten verstossen, werden je nach Grad des Verschuldens mit einer der folgenden Disziplinarstrafen belegt: 
a) Verwarnung; 
b) vorübergehender Ausschluss; 
c) Ausschluss aus dem Studiengang oder auch aus dem Fachbereich, wenn das Reglement des Fachbereichs dies vorsieht. 
Abs. 2
Sanktionen werden von der verantwortlichen Hochschule ausgesprochen. Bezüglich der Anwendung von Abs. 1 Bst. c) des vorliegenden Artikels erteilt die Hochschule ihren Beschluss nach Stellungnahme des Bereichsrats. Dieser kann diese Zuständigkeit an die Fachbereichsleitung delegieren. 
Abs. 3
Bevor eine Sanktion ausgesprochen wird, muss der/die Studierende angehört werden. 
Abs. 4
Der Beschluss wird den Studierenden schriftlich unter Angabe der Rechtsmittel mitgeteilt.

",HEIA,Formation
86,FAQ,SACAD,Je suis étudiant·e à l'ETC. Quand puis-je commencer mon travail de diplôme ?,"Règlement sur la formation de technicien·ne ES en conduite de travaux : 
Art. 17 al. 1 La dernière année de formation comprend un module «travail de diplôme». 
al. 2 
L'accès au travail de diplôme est soumis à la réussite de l'ensemble des modules figurant au plan d'études de troisième année. 
al. 3 
L'évaluation se fonde, d'une part, sur le travail effectué et le rapport remis par l'étudiant·e dans les délais prescrits et, d'autre part, sur une défense orale. 
al. 4 
Le travail de diplôme fait l'objet de directives séparées. ","Ich mache meine Ausbildung an der BTS. Wann kann ich mit meiner Diplomarbeit beginnen?
","Reglement über die Ausbildung zur Technikerin oder zum Techniker HF Bauführung:
Art.17, Abs. 1 Das letzte Ausbildungsjahr beinhaltet ein Modul «Diplomarbeit».
Abs. 2
Zur Diplomarbeit wird nur zugelassen, wer alle Module des Studienplans des dritten Studienjahres erfolgreich absolviert hat.
Abs. 3
Die Bewertung stützt sich einerseits auf die ausgeführte Arbeit und den Bericht, den die oder der Studierende fristgerecht eingereicht hat, und andererseits auf die mündliche Verteidigung der Arbeit.
Abs. 4
Für die Diplomarbeit werden zusätzliche Weisungen aufgestellt.
",HEIA,Formation
87,FAQ,SACAD,​Quand puis-je commencer mon travail de Bachelor ?,"Pour la filière d'architecture, la rédaction du travail de Bachelor débute au semestre de printemps. L’accès au travail de Bachelor est soumis à la réussite de tout le programme de formation jusqu’au 5ème semestre inclus (descriptif de module).

Pour les filières d'ingénierie : 
Directive sur l’organisation des modules à la HEIA-FR :
Art.19 al. 2 L'accès au travail de Bachelor est soumis à la condition de résultats probants dans le reste du programme. Le détail des conditions à remplir pour l’admission au travail de Bachelor est donné dans le descriptif de module correspondant et la décision finale appartient au conseil de filière.
","Wann kann ich mit meiner Bachelorarbeit anfangen?
","Im Studiengang Architektur beginnt die Bachelorarbeit im 6. Semester (Frühlingssemester). Als Zulassungsbedingung für die Bachelorarbeit müssen die ersten 5 Semester erfolgreich bestanden sein (s. Modulbeschreibung).

Studiengänge im Ingenieurwesen:
Richtlinie über die Organisation der Module an der HTA-FR:
Art. 19, Abs. 2 Zur Bachelorarbeit wird nur zugelassen, wer das übrige Studienprogramm erfolgreich absolviert hat. Ausführliche Informationen über die Zulassungsvoraussetzungen für die Bachelorarbeit sind in der entsprechenden Modulbeschreibung vermerkt. Für den endgültigen Entscheid ist der Studiengangrat zuständig.
",HEIA,Formation
88,FAQ,SACAD,"​J'aimerais joindre un·e professeur·e, comment faire ?","L'annuaire du site web www.heia-fr.ch indique l'adresse e-mail,  éventuellement le numéro de téléphone ainsi que le bureau du ou de la professeur·e.
","Ich möchte mit einer/einem Dozierenden Kontakt aufnehmen, wie gehe ich vor?
","Im Personenverzeichnis auf www.hta-fr.ch finden Sie die E-Mail, Telefonnummer und ggf. das Büro.",HEIA,Formation
